PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_PROFILE;REQUIREMENTS_ATTRIBUTES_ASSESSMENTSTATUS;REQUIREMENTS_ATTRIBUTES_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_RATIONALESTATEMENT;REQUIREMENTS_ATTRIBUTES_IMPACTSTATEMENT;REQUIREMENTS_ATTRIBUTES_REMEDIATIONPROCEDURE;REQUIREMENTS_ATTRIBUTES_AUDITPROCEDURE;REQUIREMENTS_ATTRIBUTES_ADDITIONALINFORMATION;REQUIREMENTS_ATTRIBUTES_DEFAULTVALUE;REQUIREMENTS_ATTRIBUTES_REFERENCES;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;1.1;Maintain current contact details;1 Identity and Access Management;;Level 1;Manual;"Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization.An AWS account supports a number of contact details, and AWS will use these to contact the account owner if activity judged to be in breach of the Acceptable Use Policy or indicative of a likely security compromise is observed by the AWS Abuse team. Contact details should not be for a single individual, as circumstances may arise where that individual is unavailable. Email contact details should point to a mail alias which forwards email to multiple individuals within the organization; where feasible, phone contact details should point to a PABX hunt group or other call-forwarding system.";If an AWS account is observed to be behaving in a prohibited or suspicious manner, AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation, proactive measures may be taken, including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question, so it is in both the customers' and AWS's best interests that prompt contact can be established. This is best achieved by setting AWS account contact details to point to resources which have multiple individuals as recipients, such as email aliases and PABX hunt groups.;;This activity can only be performed via the AWS Console, with a user who has permission to read and write Billing information (aws-portal:\*Billing).1. Sign in to the AWS Management Console and open the `Billing and Cost Management` console at https://console.aws.amazon.com/billing/home#/.2. On the navigation bar, choose your account name, and then choose `Account`.3. On the `Account Settings` page, next to `Account Settings`, choose `Edit`.4. Next to the field that you need to update, choose `Edit`.5. After you have entered your changes, choose `Save changes`.6. After you have made your changes, choose `Done`.7. To edit your contact information, under `Contact Information`, choose `Edit`.8. For the fields that you want to change, type your updated information, and then choose `Update`.;This activity can only be performed via the AWS Console, with a user who has permission to read and write Billing information (aws-portal:\*Billing).1. Sign in to the AWS Management Console and open the `Billing and Cost Management` console at https://console.aws.amazon.com/billing/home#/.2. On the navigation bar, choose your account name, and then choose `Account`.3. On the `Account Settings` page, review and verify the current details.4. Under `Contact Information`, review and verify the current details.;;;https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/manage-account-payment.html#contact-info;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::872515266548:root;872515266548;account_maintain_current_contact_details;False
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;1.2;Ensure security contact information is registered;1 Identity and Access Management;;Level 1;Manual;AWS provides customers with the option of specifying the contact information for account's security team. It is recommended that this information be provided.;Specifying security-specific contact information will help ensure that security advisories sent by AWS reach the team in your organization that is best equipped to respond to them.;;Perform the following to establish security contact information:**From Console:**1. Click on your account name at the top right corner of the console.2. From the drop-down menu Click `My Account` 3. Scroll down to the `Alternate Contacts` section4. Enter contact information in the `Security` section**From Command Line:**Run the following command with the following input parameters:--email-address, --name, and --phone-number.```aws account put-alternate-contact --alternate-contact-type SECURITY ``` **Note:** Consider specifying an internal email distribution list to ensure emails are regularly monitored by more than one individual.;Perform the following to determine if security contact information is present:**From Console:**1. Click on your account name at the top right corner of the console2. From the drop-down menu Click `My Account` 3. Scroll down to the `Alternate Contacts` section4. Ensure contact information is specified in the `Security` section**From Command Line:**1. Run the following command:``` aws account get-alternate-contact --alternate-contact-type SECURITY```2. Ensure proper contact information is specified for the `Security` contact.;;;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::872515266548:root;872515266548;account_security_contact_information_is_registered;False
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;1.3;Ensure security questions are registered in the AWS account;1 Identity and Access Management;;Level 1;Manual;The AWS support portal allows account owners to establish security questions that can be used to authenticate individuals calling AWS customer service for support. It is recommended that security questions be established.;When creating a new AWS account, a default super user is automatically created. This account is referred to as the 'root user' or 'root' account. It is recommended that the use of this account be limited and highly controlled. During events in which the 'root' password is no longer accessible or the MFA token associated with 'root' is lost/destroyed it is possible, through authentication using secret questions and associated answers, to recover 'root' user login access.;;**From Console:**1. Login to the AWS Account as the 'root' user2. Click on the _<Root\_Account\_Name>_ from the top right of the console3. From the drop-down menu Click _My Account_4. Scroll down to the `Configure Security Questions` section5. Click on `Edit` 6. Click on each `Question`  - From the drop-down select an appropriate question - Click on the `Answer` section - Enter an appropriate answer  - Follow process for all 3 questions7. Click `Update` when complete8. Save Questions and Answers and place in a secure physical location;**From Console:**1. Login to the AWS account as the 'root' user2. On the top right you will see the _<Root\_Account\_Name>_3. Click on the _<Root\_Account\_Name>_4. From the drop-down menu Click `My Account` 5. In the `Configure Security Challenge Questions` section on the `Personal Information` page, configure three security challenge questions.6. Click `Save questions` .;;;;MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::872515266548:root;872515266548;account_security_questions_are_registered_in_the_aws_account;False
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;3.3;Ensure AWS Config is enabled in all regions;3 Logging;;Level 2;Automated;AWS Config is a web service that performs configuration management of supported AWS resources within your account and delivers log files to you. The recorded information includes the configuration items (AWS resources), relationships between configuration items (AWS resources), and any configuration changes between resources. It is recommended that AWS Config be enabled in all regions.;The AWS configuration item history captured by AWS Config enables security analysis, resource change tracking, and compliance auditing.;Enabling AWS Config in all regions provides comprehensive visibility into resource configurations, enhancing security and compliance monitoring. However, this may incur additional costs and require proper configuration management.;To implement AWS Config configuration:**From Console:**1. Select the region you want to focus on in the top right of the console.2. Click `Services`.3. Click `Config`.4. If a Config Recorder is enabled in this region, navigate to the Settings page from the navigation menu on the left-hand side. If a Config Recorder is not yet enabled in this region, select Get Started.5. Select Record all resources supported in this region.6. Choose to include global resources (IAM resources).7. Specify an S3 bucket in the same account or in another managed AWS account.8. Create an SNS Topic from the same AWS account or another managed AWS account.**From Command Line:**1. Ensure there is an appropriate S3 bucket, SNS topic, and IAM role per the [AWS Config Service prerequisites](http://docs.aws.amazon.com/config/latest/developerguide/gs-cli-prereq.html).2. Run this command to create a new configuration recorder:```aws configservice put-configuration-recorder --configuration-recorder name=<config-recorder-name>,roleARN=arn:aws:iam::<account-id>:role/<iam-role> --recording-group allSupported=true,includeGlobalResourceTypes=true```3. Create a delivery channel configuration file locally which specifies the channel attributes, populated from the prerequisites set up previously:```{ name: <delivery-channel-name>, s3BucketName: <bucket-name>, snsTopicARN: arn:aws:sns:<region>:<account-id>:<sns-topic>, configSnapshotDeliveryProperties: { deliveryFrequency: Twelve_Hours }}```4. Run this command to create a new delivery channel, referencing the json configuration file made in the previous step:```aws configservice put-delivery-channel --delivery-channel file://<delivery-channel-file>.json```5. Start the configuration recorder by running the following command:```aws configservice start-configuration-recorder --configuration-recorder-name <config-recorder-name>```;Process to evaluate AWS Config configuration per region:**From Console:**1. Sign in to the AWS Management Console and open the AWS Config console at [https://console.aws.amazon.com/config/](https://console.aws.amazon.com/config/).1. On the top right of the console select the target region.1. If a Config Recorder is enabled in this region, you should navigate to the Settings page from the navigation menu on the left-hand side. If a Config Recorder is not yet enabled in this region, proceed to the remediation steps.1. Ensure Record all resources supported in this region is checked.1. Ensure Include global resources (e.g., AWS IAM resources) is checked, unless it is enabled in another region (this is only required in one region).1. Ensure the correct S3 bucket has been defined.1. Ensure the correct SNS topic has been defined.1. Repeat steps 2 to 7 for each region.**From Command Line:**1. Run this command to show all AWS Config Recorders and their properties:```aws configservice describe-configuration-recorders```2. Evaluate the output to ensure that all recorders have a `recordingGroup` object which includes `allSupported: true`. Additionally, ensure that at least one recorder has `includeGlobalResourceTypes: true`.**Note:** There is one more parameter, ResourceTypes, in the recordingGroup object. We don't need to check it, as whenever we set allSupported to true, AWS enforces the resource types to be empty (ResourceTypes: []).Sample output:```{ ConfigurationRecorders: [ { recordingGroup: { allSupported: true, resourceTypes: [], includeGlobalResourceTypes: true }, roleARN: arn:aws:iam::<AWS_Account_ID>:role/service-role/<config-role-name>, name: default } ]}```3. Run this command to show the status for all AWS Config Recorders:```aws configservice describe-configuration-recorder-status```4. In the output, find recorders with `name` key matching the recorders that were evaluated in step 2. Ensure that they include `recording: true` and `lastStatus: SUCCESS`.;;;https://awscli.amazonaws.com/v2/documentation/api/latest/reference/configservice/describe-configuration-recorder-status.html:https://awscli.amazonaws.com/v2/documentation/api/latest/reference/configservice/describe-configuration-recorders.html:https://docs.aws.amazon.com/config/latest/developerguide/gs-cli-prereq.html;FAIL;AWS Config recorder 872515266548 is disabled.;arn:aws:config:ap-south-1:872515266548:recorder;872515266548;config_recorder_all_regions_enabled;False
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;1.16;Ensure IAM policies that allow full *:* administrative privileges are not attached;1 Identity and Access Management;;Level 1;Automated;IAM policies are the means by which privileges are granted to users, groups, or roles. It is recommended and considered standard security advice to grant least privilege—that is, granting only the permissions required to perform a task. Determine what users need to do, and then craft policies for them that allow the users to perform only those tasks, instead of granting full administrative privileges.;It's more secure to start with a minimum set of permissions and grant additional permissions as necessary, rather than starting with permissions that are too lenient and then attempting to tighten them later.Providing full administrative privileges instead of restricting access to the minimum set of permissions required for the user exposes resources to potentially unwanted actions.IAM policies that contain a statement with `Effect: Allow` and `Action: *` over `Resource: *` should be removed.;;**From Console:**Perform the following to detach the policy that has full administrative privileges:1. Sign in to the AWS Management Console and open the IAM console at [https://console.aws.amazon.com/iam/](https://console.aws.amazon.com/iam/).2. In the navigation pane, click Policies and then search for the policy name found in the audit step.3. Select the policy that needs to be deleted.4. In the policy action menu, select `Detach`. 5. Select all Users, Groups, Roles that have this policy attached.6. Click `Detach Policy`.7. Select the newly detached policy and select `Delete`.**From Command Line:**Perform the following to detach the policy that has full administrative privileges as found in the audit step:1. Lists all IAM users, groups, and roles that the specified managed policy is attached to.``` aws iam list-entities-for-policy --policy-arn <policy_arn>```2. Detach the policy from all IAM Users:``` aws iam detach-user-policy --user-name <iam_user> --policy-arn <policy_arn>```3. Detach the policy from all IAM Groups:``` aws iam detach-group-policy --group-name <iam_group> --policy-arn <policy_arn>```4. Detach the policy from all IAM Roles:``` aws iam detach-role-policy --role-name <iam_role> --policy-arn <policy_arn>```;Perform the following to determine existing policies:**From Command Line:**1. Run the following to get a list of IAM policies:``` aws iam list-policies --only-attached --output text```2. For each policy returned, run the following command to determine if any policy is allowing full administrative privileges on the account:``` aws iam get-policy-version --policy-arn <policy_arn> --version-id <version>```3. In the output, the policy should not contain any Statement block with `Effect: Allow` and `Action` set to `*` and `Resource` set to `*`.;;;https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html:https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_managed-vs-inline.html:https://docs.aws.amazon.com/cli/latest/reference/iam/index.html#cli-aws-iam;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;1.16;Ensure IAM policies that allow full *:* administrative privileges are not attached;1 Identity and Access Management;;Level 1;Automated;IAM policies are the means by which privileges are granted to users, groups, or roles. It is recommended and considered standard security advice to grant least privilege—that is, granting only the permissions required to perform a task. Determine what users need to do, and then craft policies for them that allow the users to perform only those tasks, instead of granting full administrative privileges.;It's more secure to start with a minimum set of permissions and grant additional permissions as necessary, rather than starting with permissions that are too lenient and then attempting to tighten them later.Providing full administrative privileges instead of restricting access to the minimum set of permissions required for the user exposes resources to potentially unwanted actions.IAM policies that contain a statement with `Effect: Allow` and `Action: *` over `Resource: *` should be removed.;;**From Console:**Perform the following to detach the policy that has full administrative privileges:1. Sign in to the AWS Management Console and open the IAM console at [https://console.aws.amazon.com/iam/](https://console.aws.amazon.com/iam/).2. In the navigation pane, click Policies and then search for the policy name found in the audit step.3. Select the policy that needs to be deleted.4. In the policy action menu, select `Detach`. 5. Select all Users, Groups, Roles that have this policy attached.6. Click `Detach Policy`.7. Select the newly detached policy and select `Delete`.**From Command Line:**Perform the following to detach the policy that has full administrative privileges as found in the audit step:1. Lists all IAM users, groups, and roles that the specified managed policy is attached to.``` aws iam list-entities-for-policy --policy-arn <policy_arn>```2. Detach the policy from all IAM Users:``` aws iam detach-user-policy --user-name <iam_user> --policy-arn <policy_arn>```3. Detach the policy from all IAM Groups:``` aws iam detach-group-policy --group-name <iam_group> --policy-arn <policy_arn>```4. Detach the policy from all IAM Roles:``` aws iam detach-role-policy --role-name <iam_role> --policy-arn <policy_arn>```;Perform the following to determine existing policies:**From Command Line:**1. Run the following to get a list of IAM policies:``` aws iam list-policies --only-attached --output text```2. For each policy returned, run the following command to determine if any policy is allowing full administrative privileges on the account:``` aws iam get-policy-version --policy-arn <policy_arn> --version-id <version>```3. In the output, the policy should not contain any Statement block with `Effect: Allow` and `Action` set to `*` and `Resource` set to `*`.;;;https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html:https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_managed-vs-inline.html:https://docs.aws.amazon.com/cli/latest/reference/iam/index.html#cli-aws-iam;PASS;AWS policy AWSElasticLoadBalancingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSElasticLoadBalancingServiceRolePolicy;AWSElasticLoadBalancingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;1.16;Ensure IAM policies that allow full *:* administrative privileges are not attached;1 Identity and Access Management;;Level 1;Automated;IAM policies are the means by which privileges are granted to users, groups, or roles. It is recommended and considered standard security advice to grant least privilege—that is, granting only the permissions required to perform a task. Determine what users need to do, and then craft policies for them that allow the users to perform only those tasks, instead of granting full administrative privileges.;It's more secure to start with a minimum set of permissions and grant additional permissions as necessary, rather than starting with permissions that are too lenient and then attempting to tighten them later.Providing full administrative privileges instead of restricting access to the minimum set of permissions required for the user exposes resources to potentially unwanted actions.IAM policies that contain a statement with `Effect: Allow` and `Action: *` over `Resource: *` should be removed.;;**From Console:**Perform the following to detach the policy that has full administrative privileges:1. Sign in to the AWS Management Console and open the IAM console at [https://console.aws.amazon.com/iam/](https://console.aws.amazon.com/iam/).2. In the navigation pane, click Policies and then search for the policy name found in the audit step.3. Select the policy that needs to be deleted.4. In the policy action menu, select `Detach`. 5. Select all Users, Groups, Roles that have this policy attached.6. Click `Detach Policy`.7. Select the newly detached policy and select `Delete`.**From Command Line:**Perform the following to detach the policy that has full administrative privileges as found in the audit step:1. Lists all IAM users, groups, and roles that the specified managed policy is attached to.``` aws iam list-entities-for-policy --policy-arn <policy_arn>```2. Detach the policy from all IAM Users:``` aws iam detach-user-policy --user-name <iam_user> --policy-arn <policy_arn>```3. Detach the policy from all IAM Groups:``` aws iam detach-group-policy --group-name <iam_group> --policy-arn <policy_arn>```4. Detach the policy from all IAM Roles:``` aws iam detach-role-policy --role-name <iam_role> --policy-arn <policy_arn>```;Perform the following to determine existing policies:**From Command Line:**1. Run the following to get a list of IAM policies:``` aws iam list-policies --only-attached --output text```2. For each policy returned, run the following command to determine if any policy is allowing full administrative privileges on the account:``` aws iam get-policy-version --policy-arn <policy_arn> --version-id <version>```3. In the output, the policy should not contain any Statement block with `Effect: Allow` and `Action` set to `*` and `Resource` set to `*`.;;;https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html:https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_managed-vs-inline.html:https://docs.aws.amazon.com/cli/latest/reference/iam/index.html#cli-aws-iam;PASS;AWS policy AWSTrustedAdvisorServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSTrustedAdvisorServiceRolePolicy;AWSTrustedAdvisorServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;1.16;Ensure IAM policies that allow full *:* administrative privileges are not attached;1 Identity and Access Management;;Level 1;Automated;IAM policies are the means by which privileges are granted to users, groups, or roles. It is recommended and considered standard security advice to grant least privilege—that is, granting only the permissions required to perform a task. Determine what users need to do, and then craft policies for them that allow the users to perform only those tasks, instead of granting full administrative privileges.;It's more secure to start with a minimum set of permissions and grant additional permissions as necessary, rather than starting with permissions that are too lenient and then attempting to tighten them later.Providing full administrative privileges instead of restricting access to the minimum set of permissions required for the user exposes resources to potentially unwanted actions.IAM policies that contain a statement with `Effect: Allow` and `Action: *` over `Resource: *` should be removed.;;**From Console:**Perform the following to detach the policy that has full administrative privileges:1. Sign in to the AWS Management Console and open the IAM console at [https://console.aws.amazon.com/iam/](https://console.aws.amazon.com/iam/).2. In the navigation pane, click Policies and then search for the policy name found in the audit step.3. Select the policy that needs to be deleted.4. In the policy action menu, select `Detach`. 5. Select all Users, Groups, Roles that have this policy attached.6. Click `Detach Policy`.7. Select the newly detached policy and select `Delete`.**From Command Line:**Perform the following to detach the policy that has full administrative privileges as found in the audit step:1. Lists all IAM users, groups, and roles that the specified managed policy is attached to.``` aws iam list-entities-for-policy --policy-arn <policy_arn>```2. Detach the policy from all IAM Users:``` aws iam detach-user-policy --user-name <iam_user> --policy-arn <policy_arn>```3. Detach the policy from all IAM Groups:``` aws iam detach-group-policy --group-name <iam_group> --policy-arn <policy_arn>```4. Detach the policy from all IAM Roles:``` aws iam detach-role-policy --role-name <iam_role> --policy-arn <policy_arn>```;Perform the following to determine existing policies:**From Command Line:**1. Run the following to get a list of IAM policies:``` aws iam list-policies --only-attached --output text```2. For each policy returned, run the following command to determine if any policy is allowing full administrative privileges on the account:``` aws iam get-policy-version --policy-arn <policy_arn> --version-id <version>```3. In the output, the policy should not contain any Statement block with `Effect: Allow` and `Action` set to `*` and `Resource` set to `*`.;;;https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html:https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_managed-vs-inline.html:https://docs.aws.amazon.com/cli/latest/reference/iam/index.html#cli-aws-iam;PASS;AWS policy AWSSupportServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSSupportServiceRolePolicy;AWSSupportServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;1.16;Ensure IAM policies that allow full *:* administrative privileges are not attached;1 Identity and Access Management;;Level 1;Automated;IAM policies are the means by which privileges are granted to users, groups, or roles. It is recommended and considered standard security advice to grant least privilege—that is, granting only the permissions required to perform a task. Determine what users need to do, and then craft policies for them that allow the users to perform only those tasks, instead of granting full administrative privileges.;It's more secure to start with a minimum set of permissions and grant additional permissions as necessary, rather than starting with permissions that are too lenient and then attempting to tighten them later.Providing full administrative privileges instead of restricting access to the minimum set of permissions required for the user exposes resources to potentially unwanted actions.IAM policies that contain a statement with `Effect: Allow` and `Action: *` over `Resource: *` should be removed.;;**From Console:**Perform the following to detach the policy that has full administrative privileges:1. Sign in to the AWS Management Console and open the IAM console at [https://console.aws.amazon.com/iam/](https://console.aws.amazon.com/iam/).2. In the navigation pane, click Policies and then search for the policy name found in the audit step.3. Select the policy that needs to be deleted.4. In the policy action menu, select `Detach`. 5. Select all Users, Groups, Roles that have this policy attached.6. Click `Detach Policy`.7. Select the newly detached policy and select `Delete`.**From Command Line:**Perform the following to detach the policy that has full administrative privileges as found in the audit step:1. Lists all IAM users, groups, and roles that the specified managed policy is attached to.``` aws iam list-entities-for-policy --policy-arn <policy_arn>```2. Detach the policy from all IAM Users:``` aws iam detach-user-policy --user-name <iam_user> --policy-arn <policy_arn>```3. Detach the policy from all IAM Groups:``` aws iam detach-group-policy --group-name <iam_group> --policy-arn <policy_arn>```4. Detach the policy from all IAM Roles:``` aws iam detach-role-policy --role-name <iam_role> --policy-arn <policy_arn>```;Perform the following to determine existing policies:**From Command Line:**1. Run the following to get a list of IAM policies:``` aws iam list-policies --only-attached --output text```2. For each policy returned, run the following command to determine if any policy is allowing full administrative privileges on the account:``` aws iam get-policy-version --policy-arn <policy_arn> --version-id <version>```3. In the output, the policy should not contain any Statement block with `Effect: Allow` and `Action` set to `*` and `Resource` set to `*`.;;;https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html:https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_managed-vs-inline.html:https://docs.aws.amazon.com/cli/latest/reference/iam/index.html#cli-aws-iam;PASS;AWS policy ReadOnlyAccess is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/ReadOnlyAccess;ReadOnlyAccess;iam_aws_attached_policy_no_administrative_privileges;False
aws;The CIS Amazon Web Services Foundations Benchmark provides prescriptive guidance for configuring security options for a subset of Amazon Web Services with an emphasis on foundational, testable, and architecture agnostic settings.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;1.16;Ensure IAM policies that allow full *:* administrative privileges are not attached;1 Identity and Access Management;;Level 1;Automated;IAM policies are the means by which privileges are granted to users, groups, or roles. It is recommended and considered standard security advice to grant least privilege—that is, granting only the permissions required to perform a task. Determine what users need to do, and then craft policies for them that allow the users to perform only those tasks, instead of granting full administrative privileges.;It's more secure to start with a minimum set of permissions and grant additional permissions as necessary, rather than starting with permissions that are too lenient and then attempting to tighten them later.Providing full administrative privileges instead of restricting access to the minimum set of permissions required for the user exposes resources to potentially unwanted actions.IAM policies that contain a statement with `Effect: Allow` and `Action: *` over `Resource: *` should be removed.;;**From Console:**Perform the following to detach the policy that has full administrative privileges:1. Sign in to the AWS Management Console and open the IAM console at [https://console.aws.amazon.com/iam/](https://console.aws.amazon.com/iam/).2. In the navigation pane, click Policies and then search for the policy name found in the audit step.3. Select the policy that needs to be deleted.4. In the policy action menu, select `Detach`. 5. Select all Users, Groups, Roles that have this policy attached.6. Click `Detach Policy`.7. Select the newly detached policy and select `Delete`.**From Command Line:**Perform the following to detach the policy that has full administrative privileges as found in the audit step:1. Lists all IAM users, groups, and roles that the specified managed policy is attached to.``` aws iam list-entities-for-policy --policy-arn <policy_arn>```2. Detach the policy from all IAM Users:``` aws iam detach-user-policy --user-name <iam_user> --policy-arn <policy_arn>```3. Detach the policy from all IAM Groups:``` aws iam detach-group-policy --group-name <iam_group> --policy-arn <policy_arn>```4. Detach the policy from all IAM Roles:``` aws iam detach-role-policy --role-name <iam_role> --policy-arn <policy_arn>```;Perform the following to determine existing policies:**From Command Line:**1. Run the following to get a list of IAM policies:``` aws iam list-policies --only-attached --output text```2. For each policy returned, run the following command to determine if any policy is allowing full administrative privileges on the account:``` aws iam get-policy-version --policy-arn <policy_arn> --version-id <version>```3. In the output, the policy should not contain any Statement block with `Effect: Allow` and `Action` set to `*` and `Resource` set to `*`.;;;https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html:https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_managed-vs-inline.html:https://docs.aws.amazon.com/cli/latest/reference/iam/index.html#cli-aws-iam;PASS;AWS policy ServiceQuotasServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/ServiceQuotasServiceRolePolicy;ServiceQuotasServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False
